ssid,time,x_ref,y_ref,psi_ref,x_act,y_act,psi_act,x_wp,y_wp,psi_wp,start_plot,x_tp,y_tp,psi_tp
"{'ip': '127.0.0.1', 'port': 5002}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",1.9600000000000002,0.0,0.0,0.0,0.0014911781226041212,3.3595360602287266e-06,4.949165877624489e-06,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",2.0,0.0,0.0,0.0,0.0012650513463776808,1.6285001232289357e-05,5.006206657028904e-06,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",3.4400000000000004,0.0,0.0,0.0,-0.011802073227834496,1.0132713444605355e-06,9.828342839417044e-07,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",4.0,0.0,0.0,0.0,-0.015637195256706458,-0.00020632807962588727,-3.626688653604845e-07,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",5.0,0.0,0.0,0.0,-0.02925064666519083,6.923581723932122e-05,-2.3246618483971344e-06,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",6.0,0.0,0.0,0.0,-0.045033140084253624,1.4305853966480918e-05,-1.5153542594285562e-06,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",7.12,0.0,0.0,0.0,-0.06061593275510129,-0.000144124780447786,-5.194963990240738e-07,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",9.96,0.0,0.0,0.0,-0.12112025539939371,-0.00010240612298461463,4.009671408400618e-06,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",11.0,0.0,0.0,0.0,-0.1541205066077597,-0.0001236518724903218,8.229897219920967e-07,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",12.360000000000001,0.0,0.0,0.0,-0.20999937500073987,-0.0003000669532626054,-1.0353528301164062e-05,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",14.0,0.0,0.0,0.0,-0.2833194731153183,-0.00046858536475539417,-1.993179502784156e-05,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",16.0,0.0,0.0,0.0,-0.36208862347068466,-0.00042603134539010123,-2.9699087716657388e-05,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",19.200000000000003,0.0,0.0,0.0,-0.5192152913660124,-0.0005594114285353769,-4.896117856209177e-05,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",23.0,0.0,0.0,0.0,-0.7306792065932443,-0.0008277503402914099,-8.831227122627147e-05,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",25.76,0.0,0.0,0.0,-0.8687547728424251,-0.0010255734529569002,-0.00011230561328325909,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",28.0,0.0,0.0,0.0,-0.9823543347714951,-0.0010888293604312952,-0.000131653084433709,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",31.000000000000004,0.0,0.0,0.0,-1.1267011659041992,-0.0014019386713343509,-0.00016566274346056488,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",34.0,0.0,0.0,0.0,-1.215208998790746,-0.0015004928474109975,-0.00018971686088488347,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",37.0,0.0,0.0,0.0,-1.2724917971851268,-0.0017046810989200982,-0.0002247426188577207,,,,False,,,
"{'ip': '127.0.0.1', 'port': 5002}",40.0,0.0,0.0,0.0,-1.275430301177097,-0.0017133663688814929,-0.00025895411700132685,,,,False,,,
